rank,priority,score,lv3,lv4,count
1,P1,18,특수영양식품,체중조절용 조제식품,748
2,P1,16,즉석식품류,체중조절용 즉석식품,2
3,P2,15,음료류,두유,571
4,P2,14,음료류,액상음료,5237
5,P2,14,음료류,과·채주스,5158
6,P2,14,음료류,액상차,4035
7,P2,14,음료류,농축음료/베이스,2919
8,P2,14,음료류,과·채음료,2565
9,P2,14,음료류,액상커피,2378
10,P2,14,즉석식품류,도시락,2321
11,P2,14,즉석식품류,죽,2155
12,P2,14,즉석식품류,샐러드,2022
13,P2,14,즉석식품류,시리얼바/에너지바/영양바,11
14,P2,13,식육가공품 및 포장육,식육간편조리,1292
15,P3,12,조미식품,기타 소스류,6778
16,P3,12,유가공품류,치즈,2477
17,P3,12,유가공품류,농후발효유,1368
18,P3,12,유가공품류,가공우유,730
19,P3,12,조미식품,복합조미식품,724
20,P3,12,유가공품류,발효유,501
21,P3,12,조미식품,드레싱,419
22,P3,12,유가공품류,우유,353
23,P3,12,조미식품,마요네즈,112
24,P3,12,조미식품,토마토케첩,83
25,P3,12,유가공품류,유당분해우유,63
26,P3,10,특수영양식품,영·유아용 이유식,3260
27,P3,10,특수영양식품,성장기용 조제식,65
28,P3,10,특수영양식품,조제유류,36
29,P3,10,특수영양식품,영아용 조제식,7
30,P3,10,특수영양식품,고령자용 영양조제식품,4
31,P3,10,특수영양식품,임산·수유부용 식품,1
32,P4,9,음료류,원두/원두분말,1279
33,P4,9,음료류,인삼/홍삼음료,822
34,P4,9,음료류,발효음료,661
35,P4,9,음료류,고형차,542
36,P4,9,음료류,인스턴트커피,444
37,P4,9,음료류,유산균음료,279
38,P4,9,음료류,탄산수,167
39,P4,9,음료류,침출차,42
40,P4,9,음료류,효모음료,34
41,P4,8,즉석식품류,밥류,6082
42,P4,8,즉석식품류,국/탕류,3648
43,P4,8,즉석식품류,주먹밥/김밥/초밥,3080
44,P4,8,즉석식품류,만두,2959
45,P4,8,즉석식품류,반찬,2589
46,P4,8,즉석식품류,샌드위치,2391
47,P4,8,즉석식품류,즉석 면요리,1699
48,P4,8,즉석식품류,찌개/전골류,1253
49,P4,8,즉석식품류,기타 즉석식품,1045
50,P4,8,즉석식품류,떡볶이,896
51,P4,8,즉석식품류,버거,778
52,P4,8,즉석식품류,순대,679
53,P4,8,즉석식품류,조림/찜,665
54,P4,8,즉석식품류,스프,591
55,P4,8,즉석식품류,튀김,334
56,P4,8,즉석식품류,미숫가루/선식,333
57,P4,8,즉석식품류,즉석 빵,312
58,P4,8,즉석식품류,소스/드레싱,293
59,P4,8,즉석식품류,전,257
60,P4,8,즉석식품류,치킨,238
61,P4,8,즉석식품류,함박스테이크/미트볼,153
62,P4,8,유가공품류,유함유가공품,102
63,P4,8,즉석식품류,육수,91
64,P4,8,즉석식품류,누룽지,60
65,P4,8,유가공품류,강화우유,56
66,P4,8,즉석식품류,즉석 피자,52
67,P4,8,즉석식품류,만두피,38
68,P4,8,유가공품류,우유(멸균),28
69,P4,8,유가공품류,가공우유(멸균),27
70,P4,8,유가공품류,유크림,24
71,P4,8,즉석식품류,기타 음료,21
72,P4,8,유가공품류,전지/탈지분유,14
73,P4,8,유가공품류,버터,13
74,P4,8,유가공품류,분유,13
75,P4,8,즉석식품류,기타 시리얼,11
76,P4,8,유가공품류,연유,10
77,P4,8,유가공품류,크림발효유,7
78,P4,8,즉석식품류,감자튀김,5
79,P4,8,즉석식품류,성장기 즉석식품,1
80,P4,7,식육가공품 및 포장육,양념육,5693
81,P4,7,식육가공품 및 포장육,기타 식육가공품,3049
82,P4,7,식육가공품 및 포장육,햄,2402
83,P4,7,식육가공품 및 포장육,소시지,1962
84,P4,7,조미식품,식초,472
85,P4,7,식육가공품 및 포장육,육포,338
86,P4,7,조미식품,향신료,249
87,P4,7,조미식품,카레,238
88,P4,7,식육가공품 및 포장육,베이컨,151
89,P4,7,조미식품,분말스프,140
90,P4,7,조미식품,고춧가루,28
91,P4,7,조미식품,소금,9
92,P5,6,농산가공식품류,기타 농산가공품,3397
93,P5,6,음료류,탄산음료,1872
94,P5,6,농산가공식품류,채소가공품,1693
95,P5,6,농산가공식품류,과일가공품,1521
96,P5,6,농산가공식품류,견과류,1398
97,P5,6,두부류 또는 묵류,두부,829
98,P5,6,농산가공식품류,서류가공품,800
99,P5,6,농산가공식품류,두류가공품,775
100,P5,6,농산가공식품류,시리얼,539
101,P5,6,농산가공식품류,견과류 가공품,518
102,P5,6,농산가공식품류,땅콩버터,287
103,P5,6,농산가공식품류,부침가루/튀김가루/믹스,273
104,P5,6,두부류 또는 묵류,묵,198
105,P5,6,농산가공식품류,밀가루,181
106,P5,6,두부류 또는 묵류,유부,151
107,P5,6,두부류 또는 묵류,기타 두부 가공품,119
108,P5,6,농산가공식품류,옥수수,89
109,P5,6,두부류 또는 묵류,기타 묵 가공품,78
110,P5,6,농산가공식품류,건조과일(건과류),72
111,P5,6,농산가공식품류,빵가루,38
112,P5,6,농산가공식품류,냉동과일,33
113,P5,6,농산가공식품류,호박씨분말,1
114,P5,5,면류,국수,1218
115,P5,5,면류,라면,1025
116,P5,5,면류,파스타,1024
117,P5,5,면류,메밀국수/냉면국수,814
118,P5,5,면류,기타면,485
119,P5,5,면류,당면,482
120,P5,5,면류,우동면,465
121,P5,5,면류,쌀국수,428
122,P5,5,면류,칼국수,405
123,P5,5,면류,볶음/비빔라면,214
124,P5,5,면류,쫄면,118
125,P5,5,면류,자장라면,102
126,P5,5,면류,라이스페이퍼,67
127,P5,5,면류,기타 라면,29
128,P5,5,면류,라면과자,28
129,P5,4,수산가공식품류,기타 수산가공품,2200
130,P5,4,수산가공식품류,어묵,2010
131,P5,4,기타식품류,기타가공품,1758
132,P5,4,절임류 또는 조림류,절임식품,1733
133,P5,4,수산가공식품류,김,1384
134,P5,4,식용유지류,올리브유,1360
135,P5,4,절임류 또는 조림류,기타 조림,1191
136,P5,4,절임류 또는 조림류,배추김치,1160
137,P5,4,특수의료용도식품,환자용 식품,944
138,P5,4,식용유지류,향미유,907
139,P5,4,수산가공식품류,조미건어포,633
140,P5,4,수산가공식품류,젓갈/액젓,606
141,P5,4,장류,간장,599
142,P5,4,수산가공식품류,어육가공품,582
143,P5,4,식용유지류,참기름,557
144,P5,4,장류,혼합장,512
145,P5,4,절임류 또는 조림류,기타김치,510
146,P5,4,식용유지류,들기름,506
147,P5,4,수산가공식품류,원재료성 수산가공품,499
148,P5,4,장류,고추장,469
149,P5,4,수산가공식품류,김자반,431
150,P5,4,절임류 또는 조림류,단무지/피클,426
151,P5,4,식용유지류,식물성유지,399
152,P5,4,절임류 또는 조림류,과·채당절임,390
153,P5,4,장류,된장,357
154,P5,4,알가공품류,달걀/메추리알,343
155,P5,4,식용유지류,콩기름(대두유),308
156,P5,4,절임류 또는 조림류,장아찌,258
157,P5,4,식용유지류,혼합식용유,210
158,P5,4,수산가공식품류,참치,171
159,P5,4,식용유지류,해바라기씨유,152
160,P5,4,수산가공식품류,연어,145
161,P5,4,식용유지류,식물성크림,143
162,P5,4,수산가공식품류,고등어,129
163,P5,4,식용유지류,유채씨유/카놀라유,100
164,P5,4,절임류 또는 조림류,물김치,86
165,P5,4,알가공품류,알함유가공품,78
166,P5,4,식용유지류,기타 식용유지,73
167,P5,4,식용유지류,아보카도오일,69
168,P5,4,절임류 또는 조림류,김칫속,67
169,P5,4,동물성가공식품류,추출가공식품,64
170,P5,4,식용유지류,마가린,63
171,P5,4,식용유지류,포도씨유,50
172,P5,4,식용유지류,미강유(현미유),44
173,P5,4,장류,청국장,39
174,P5,4,장류,춘장,37
175,P5,4,장류,메주,29
176,P5,4,식용유지류,옥수수기름(옥배유),28
177,P5,4,수산가공식품류,골뱅이,26
178,P5,4,식용유지류,쇼트닝,26
179,P5,4,수산가공식품류,꽁치,23
180,P5,4,식용유지류,땅콩기름(낙화생유),17
181,P5,4,장류,나토,17
182,P5,4,식용유지류,팜유,12
183,P5,4,수산가공식품류,정어리,11
184,P5,4,식용유지류,고추씨기름,10
185,P5,4,식용유지류,홍화유,10
186,P5,4,식용유지류,모조치즈,8
187,P5,4,동물성가공식품류,식용곤충,7
188,P5,4,식용유지류,어유,7
189,P5,4,동물성가공식품류,곤충가공식품,5
190,P5,4,식용유지류,식용돈지,4
191,P5,4,식용유지류,홍화씨유,1
192,P5,3,과자류·빵류 또는 떡류,기타 빵,8067
193,P5,3,과자류·빵류 또는 떡류,일반과자,6452
194,P5,3,과자류·빵류 또는 떡류,케이크,6064
195,P5,3,과자류·빵류 또는 떡류,떡,3841
196,P5,3,코코아가공품류 또는 초콜릿류,초콜릿과자,3504
197,P5,3,과자류·빵류 또는 떡류,스낵과자,2035
198,P5,3,당류,당류가공품,1626
199,P5,3,과자류·빵류 또는 떡류,기타 사탕,1551
200,P5,3,과자류·빵류 또는 떡류,전통과자,1481
201,P5,3,과자류·빵류 또는 떡류,반제품/생지,1412
202,P5,3,과자류·빵류 또는 떡류,마카롱/다쿠아즈,1302
203,P5,3,과자류·빵류 또는 떡류,파이/타르트,1212
204,P5,3,과자류·빵류 또는 떡류,페이스트리,1141
205,P5,3,과자류·빵류 또는 떡류,피자,1106
206,P5,3,빙과류,아이스밀크,1061
207,P5,3,과자류·빵류 또는 떡류,도넛,1057
208,P5,3,과자류·빵류 또는 떡류,베이글,1042
209,P5,3,과자류·빵류 또는 떡류,식빵,1022
210,P5,3,과자류·빵류 또는 떡류,강냉이/팝콘,970
211,P5,3,과자류·빵류 또는 떡류,카스텔라,803
212,P5,3,과자류·빵류 또는 떡류,바게트/치아바타,770
213,P5,3,과자류·빵류 또는 떡류,크림빵,707
214,P5,3,과자류·빵류 또는 떡류,휘낭시에,666
215,P5,3,과자류·빵류 또는 떡류,핫도그,604
216,P5,3,과자류·빵류 또는 떡류,스콘,552
217,P5,3,코코아가공품류 또는 초콜릿류,기타 코코아가공품,491
218,P5,3,과자류·빵류 또는 떡류,마들렌,477
219,P5,3,과자류·빵류 또는 떡류,웨이퍼,466
220,P5,3,빙과류,샤베트,449
221,P5,3,과자류·빵류 또는 떡류,양갱,416
222,P5,3,과자류·빵류 또는 떡류,곡물빵,413
223,P5,3,과자류·빵류 또는 떡류,머핀,391
224,P5,3,과자류·빵류 또는 떡류,캐러멜,380
225,P5,3,과자류·빵류 또는 떡류,소금빵,353
226,P5,3,과자류·빵류 또는 떡류,팬케이크/크레이프,352
227,P5,3,당류,시럽,350
228,P5,3,과자류·빵류 또는 떡류,호빵/찐빵,324
229,P5,3,과자류·빵류 또는 떡류,풀빵,282
230,P5,3,과자류·빵류 또는 떡류,마시멜로,280
231,P5,3,과자류·빵류 또는 떡류,단팥빵,244
232,P5,3,과자류·빵류 또는 떡류,호떡,241
233,P5,3,과자류·빵류 또는 떡류,소보로빵,216
234,P5,3,과자류·빵류 또는 떡류,모닝빵,209
235,P5,3,과자류·빵류 또는 떡류,만쥬,202
236,P5,3,과자류·빵류 또는 떡류,브라우니,186
237,P5,3,과자류·빵류 또는 떡류,토스트/샌드위치,168
238,P5,3,과자류·빵류 또는 떡류,호두과자,146
239,P5,3,과자류·빵류 또는 떡류,푸딩,138
240,P5,3,과자류·빵류 또는 떡류,크로켓,136
241,P5,3,과자류·빵류 또는 떡류,또띠아/난,133
242,P5,3,코코아가공품류 또는 초콜릿류,코코아,106
243,P5,3,코코아가공품류 또는 초콜릿류,초코파이,104
244,P5,3,과자류·빵류 또는 떡류,앙금빵,89
245,P5,3,과자류·빵류 또는 떡류,와플,64
246,P5,3,과자류·빵류 또는 떡류,프레즐,64
247,P5,3,당류,물엿,39
248,P5,3,당류,설탕,23
249,P5,3,과자류·빵류 또는 떡류,껌,10
250,P5,3,코코아가공품류 또는 초콜릿류,코코아매스,8
251,P5,3,당류,덩어리엿,5
252,P5,1,주류,맥주,5
253,P5,1,주류,과실주,4
254,P5,1,벌꿀 및 화분가공 식품류,로열젤리제품,3
255,P5,1,주류,소주,3
256,P5,1,주류,증류주,2
257,P5,1,주류,고량주,1
258,P5,1,주류,리큐르,1
259,P5,1,주류,막걸리,1
260,P5,1,주류,위스키,1
261,P5,1,주류,청주,1
262,P5,0,과자류·빵류 또는 떡류,비스킷/쿠키/크래커,6888
263,P5,0,코코아가공품류 또는 초콜릿류,초콜릿,4737
264,P5,0,과자류·빵류 또는 떡류,젤리,3976
265,P5,0,과자류·빵류 또는 떡류,사탕,3174
266,P5,0,잼류,잼,2228
267,P5,0,빙과류,아이스크림,1717
268,P5,0,빙과류,빙과,882
,,,총합,,226630
